Web Server Misconfiguration,File Path,Category
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\CampaignManagementPortal\Core,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\CampaignManagementPortal\Core,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI,Denial of service attacks
Ensure global authorization rule is set to restrict access,C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI,Permission Management
Ensure httpcookie mode is configured for session state,C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI,Session hijacking
Ensure non-ASCII characters in URLs are not allowed,C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI,Brute force attacks
Ensure HTTP Trace Method is disabled,C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI,Dangerous methods enabled
Ensure Default IIS web log location is moved,IIS Server,Logging
Ensure Unlisted File Extensions are not allowed,C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI,Permission Management
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\ServicePortal\Core,Denial of service attacks
Ensure global authorization rule is set to restrict access,C:\TayqaSale\WebServices\ServicePortal\Core,Permission Management
Ensure httpcookie mode is configured for session state,C:\TayqaSale\WebServices\ServicePortal\Core,Session hijacking
Ensure non-ASCII characters in URLs are not allowed,C:\TayqaSale\WebServices\ServicePortal\Core,Brute force attacks
Ensure HTTP Trace Method is disabled,C:\TayqaSale\WebServices\ServicePortal\Core,Dangerous methods enabled
Ensure Unlisted File Extensions are not allowed,C:\TayqaSale\WebServices\ServicePortal\Core,Permission Management
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\ServicePortal\Core,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\ServicePortal\Core,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\ServicePortal\Core,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\ServicePortal\Core,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\ServicePortal\Core,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\ServicePortal\Core,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\ServicePortal\WebUI,Denial of service attacks
Ensure global authorization rule is set to restrict access,C:\TayqaSale\WebServices\ServicePortal\WebUI,Permission Management
Ensure httpcookie mode is configured for session state,C:\TayqaSale\WebServices\ServicePortal\WebUI,Session hijacking
Ensure non-ASCII characters in URLs are not allowed,C:\TayqaSale\WebServices\ServicePortal\WebUI,Brute force attacks
Ensure HTTP Trace Method is disabled,C:\TayqaSale\WebServices\ServicePortal\WebUI,Dangerous methods enabled
Ensure Unlisted File Extensions are not allowed,C:\TayqaSale\WebServices\ServicePortal\WebUI,Permission Management
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\ServicePortal\WebUI,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\ServicePortal\WebUI,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\ServicePortal\WebUI,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\ServicePortal\WebUI,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\ServicePortal\WebUI,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\ServicePortal\WebUI,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\CustomerDataExchangeWS,Denial of service attacks
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\CustomerDataExchangeWS,Denial of service attacks
IIS server is using default cipher suites,C:\TayqaSale\WebServices\TayqaNovaWS,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\TayqaNovaWS,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\TayqaNovaWS,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\TayqaNovaWS,SSL
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\TayqaNovaWS,SSL
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\TayqaNovaWS,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\CustomerDataExchangeWS,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\CustomerDataExchangeWS,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\CustomerDataExchangeWS,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\CustomerDataExchangeWS,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\CustomerDataExchangeWS,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\TayqaNovaWS,Denial of service attacks
Ensure Dynamic IP Address Restrictions is enabled,%SystemDrive%\inetpub\wwwroot,Denial of service attacks
Ensure deployment method retail is set,IIS Server,Information Disclosure
Ensure unique application pools is set for sites,IIS Server,Permission Management
Ensure application pool identity is configured for all application pools,IIS Server,Permission Management
Ensure host headers are on all sites,%SystemDrive%\inetpub\wwwroot,Denial of service attacks
Ensure web content is on non-system partition,%SystemDrive%\inetpub\wwwroot,Sensitive File Access
IIS server is using default cipher suites,C:\TayqaSale\WebServices\DeliveryManagementWS,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\DeliveryManagementWS,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\DeliveryManagementWS,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\DeliveryManagementWS,SSL
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\DeliveryManagementWS,SSL
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\DeliveryManagementWS,Denial of service attacks
Ensure host headers are on all sites,C:\TayqaSale\WebServices\DeliveryManagementWS,Denial of service attacks
IIS server is using default cipher suites,C:\TayqaSale\WebServices\CrmWS,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\CrmWS,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\CrmWS,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI,SSL
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\ServicePortal\WebUI,Denial of service attacks
Ensure Unlisted File Extensions are not allowed,C:\TayqaSale\WebServices\ServicePortal\WebUI,Permission Management
Ensure HTTP Trace Method is disabled,C:\TayqaSale\WebServices\ServicePortal\WebUI,Dangerous methods enabled
Ensure non-ASCII characters in URLs are not allowed,C:\TayqaSale\WebServices\ServicePortal\WebUI,Brute force attacks
Ensure httpcookie mode is configured for session state,C:\TayqaSale\WebServices\ServicePortal\WebUI,Session hijacking
Ensure global authorization rule is set to restrict access,C:\TayqaSale\WebServices\ServicePortal\WebUI,Permission Management
Ensure host headers are on all sites,C:\TayqaSale\WebServices\ServicePortal\WebUI,Denial of service attacks
IIS server is using default cipher suites,C:\TayqaSale\WebServices\ServicePortal\Core,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\ServicePortal\Core,SSL
Insecure MD5 hashing algorithm is not disabled (IIS),C:\TayqaSale\WebServices\ServicePortal\Core,SSL
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\TayqaMasterDataSyncService,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\TayqaMasterDataSyncService,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\TayqaMasterDataSyncService,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\TayqaMasterDataSyncService,SSL
Ensure RC4 Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\TayqaMasterDataSyncService,SSL
Insecure MD5 hashing algorithm is not disabled (IIS),C:\TayqaSale\WebServices\TayqaMasterDataSyncService,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\TayqaMasterDataSyncService,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\TayqaMasterDataSyncService,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\UserIdentityManagementWS,Denial of service attacks
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\UserIdentityManagementWS,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\UserIdentityManagementWS,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\UserIdentityManagementWS,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\UserIdentityManagementWS,SSL
Ensure RC4 Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\UserIdentityManagementWS,SSL
Insecure MD5 hashing algorithm is not disabled (IIS),C:\TayqaSale\WebServices\UserIdentityManagementWS,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\UserIdentityManagementWS,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\UserIdentityManagementWS,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\WorkPlanManagementWS,Denial of service attacks
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\WorkPlanManagementWS,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\WorkPlanManagementWS,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\WorkPlanManagementWS,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\WorkPlanManagementWS,SSL
